Data_Year,Dashboard_Fuel_Type_Group,Fuel_Type,ZIP,Number_of_Vehicles
2022,Other,Natural Gas,94301,5
2022,Gasoline Hybrid,Gasoline Hybrid,94303,2141
2022,Gasoline Hybrid,Gasoline Hybrid,94301,1166
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94309,5
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94306,563
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94305,103
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94304,48
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94303,580
2022,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94301,376
2022,Other,Natural Gas,94306,3
2022,Other,Natural Gas,94304,1
2022,Other,Natural Gas,94303,33
2022,Other,Natural Gas,94301,5
